hcc_id,community_size,hashtag,frequency,n_videos,n_users_exposed,hashtag_uses_per_account,rank_frequency_within_hcc,rank_per_account_within_hcc
1,3,retinolskincare,2,2,3,0.667,1,1
1,3,glowup,2,2,3,0.667,2,2
1,3,maryamebeautee,2,2,3,0.667,3,3
1,3,reviewretinol,1,1,3,0.333,4,4
1,3,retinolserum,1,1,3,0.333,5,5
1,3,racuntiktokshop,1,1,3,0.333,6,6
1,3,marvelxazarine,1,1,3,0.333,7,7
1,3,retinolcomplex,1,1,3,0.333,8,8
1,3,azarinecosmetic,1,1,3,0.333,9,9
1,3,racunnabella,1,1,3,0.333,10,10
1,3,davienaretinol,1,1,3,0.333,11,11
1,3,pemutihkulit,1,1,3,0.333,12,12
1,3,glowing,1,1,3,0.333,13,13
1,3,flks,1,1,3,0.333,14,14
1,3,ownerdavienaskincare,1,1,3,0.333,15,15
1,3,pemutih,1,1,3,0.333,16,16
1,3,daviena,1,1,3,0.333,17,17
1,3,berandatiktok,1,1,3,0.333,18,18
1,3,buzzer,1,1,3,0.333,19,19
1,3,flksguys,1,1,3,0.333,20,20
1,3,retinol,1,1,3,0.333,21,21
1,3,retinoldaviena,1,1,3,0.333,22,22
1,3,cod,1,1,3,0.333,23,23
1,3,glowupcream,1,1,3,0.333,24,24
1,3,cream,1,1,3,0.333,25,25
1,3,jerawatan,1,1,3,0.333,26,26
1,3,reviewdeswitatata,1,1,3,0.333,27,27
1,3,maryamebeauty,1,1,3,0.333,28,28
1,3,maryamebeautyglowupcream,1,1,3,0.333,29,29
1,3,creamajaib,1,1,3,0.333,30,30
1,3,creamsatset,1,1,3,0.333,31,31
2,6,maryame,3,3,6,0.5,1,1
2,6,dokterdetektif,1,1,6,0.167,2,2
2,6,tips,1,1,6,0.167,3,3
2,6,tipsandtricks,1,1,6,0.167,4,4
2,6,mputrizahro,1,1,6,0.167,5,5
2,6,daycream,1,1,6,0.167,6,6
3,5,skincareampuh,1,1,5,0.2,1,1
3,5,encapsulatedretinol,1,1,5,0.2,2,2
3,5,mencerahkankulit,1,1,5,0.2,3,3
3,5,retinol,1,1,5,0.2,4,4
3,5,mengurangitandapenuaan,1,1,5,0.2,5,5
3,5,tips,1,1,5,0.2,6,6
3,5,tipsandtricks,1,1,5,0.2,7,7
3,5,maryame,1,1,5,0.2,8,8
3,5,mputrizahro,1,1,5,0.2,9,9
3,5,berawaldaritiktokshop,1,1,5,0.2,10,10
3,5,zonacantik,1,1,5,0.2,11,11
3,5,theoriginote,1,1,5,0.2,12,12
5,8,theoriginote,6,6,8,0.75,1,1
5,8,brightserum,1,1,8,0.125,2,2
5,8,brighteningserum,1,1,8,0.125,3,3
5,8,niacinamideserum,1,1,8,0.125,4,4
5,8,capcut,1,1,8,0.125,5,5
5,8,beautyhaulaja,1,1,8,0.125,6,6
5,8,skintention,1,1,8,0.125,7,7
5,8,skincareproducts,1,1,8,0.125,8,8
5,8,reviewserumtheoriginote,1,1,8,0.125,9,9
5,8,rekomendasiserum,1,1,8,0.125,10,10
5,8,reviewserum,1,1,8,0.125,11,11
5,8,brightb3serum,1,1,8,0.125,12,12
5,8,serumviral,1,1,8,0.125,13,13
