hcc_id,4upage,acnefighter,azarine,azarinecosmetic,azarineproduct,azarineretinol,azarinesuperserum,beautyhaulaja,beautytok,berandatiktok,berawaldaritiktokshop,bismillahfyp,brightb3serum,brighteningserum,brightserum,buzzer,capcut,carapakeretinol,ceritaiketia,chromabright,cod,cream,creamajaib,creammaryamebeautee,creamsatset,creamviral,cuantanpabatas,daviena,davienabooster,davienaretinol,davienaretinolbooster,davienaskincare,davienaskincareofficial,daycream,daycreamviral,dokterdetektif,encapsulatedretinol,fishcollagen,flks,flksguys,fyf,fypã·,gayaditiktok,glowing,glowup,glowupcream,hyalucserum,hydrolizedcollagen,jerawatan,katadrzie,kerajaanglowing,klarifikasi,komitmen,kulitberminyak,kulitcerah,kulitglowing,longervideos,marvelxazarine,maryame,maryamebeautee,maryamebeauty,maryamebeautyglowupcream,maryamebeutee,mencerahkankulit,mengurangitandapenuaan,moneylaundry,mputrizahro,niacinamide,niacinamideserum,ownerdavienaskincare,pejuangglowing,pejuangglowup,pemutih,pemutihkulit,permintaanmaaf,racunjuju,racunnabella,racuntiktokshop,rekomendasiserum,retinol,retinol101,retinolazarine,retinolbeginners,retinolboosterdavienaskincare,retinolbosterdaviena,retinolcomplex,retinolcream,retinoldaviena,retinolmoisturizer,retinolpemula,retinolserum,retinolskincare,retinoltips,retinolviral,reviewdeswitatata,reviewjudes,reviewjujurdaviena,reviewretinol,reviewserum,reviewserumtheoriginote,reviewskincare,serum,serumazarine,serumazarinemarvel,serummencerahkan,serumtheoriginote,serumviral,serumvitc,skincareampuh,skincaremaryame,skincareproducts,skincaretips,skincareviral,skintention,sleepingmask,sleepingmaskretinol,sleepingmaskretinolbooster,sleepingmaskretinoldaviena,stepskincare,stitch,theoriginote,theoriginotebrighteningserum,theoriginotehyalucserum,theoriginotemoisturizer,theoriginoteserum,tips,tipsandtricks,tipsskincare,viralditiktok,zonacantik
1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,3,3,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,3,0,3,0,0,0,0,0,3,0,3,0,0,3,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,5,0,0,5
5,0,0,0,0,0,0,0,8,0,0,8,0,8,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,8,8,0,0,0,8,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8
14,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,0,5,0
17,0,0,0,7,0,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,0,5,7,0,7,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,5,2,0,0,2,0,0,0,0,0,0,0,7,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0
