presentation_rank,example_id,source_pair_id,similarity_category,similarity_score,cluster_id,actor_pair_type,brand_scope,hcc_scope,same_video,same_brand,community_mass_pair_is_lcn_edge,community_mass_interaction_scope,selection_pool,n_comments_in_group,n_unique_accounts,n_unique_videos,comment_1,comment_1_actor_type,comment_1_network_position,comment_1_brand,comment_2,comment_2_actor_type,comment_2_network_position,comment_2_brand,comment_3,comment_3_actor_type,comment_3_network_position,comment_3_brand,comment_4,reason_selected,methodological_caption,review_decision,reviewer_notes
1,PPT_SIM_001,SIM_PAIR_000003517,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00356,Community–Mass,Maryame,Cross-HCC / Non-HCC,False,True,False,NO_ACCOUNT_EVIDENCE_PAIR,primary_substantive_text,4,4,4,gimana cara pesan nya mbak,Mass Actor,Outside LCN,Maryame,cara pesan nya gimana,Mass Actor,Outside LCN,The Originote,cara pesan nya gimana ya kak,Mass Actor,Outside LCN,Maryame,gimana cara pesan nya mbak,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
2,PPT_SIM_002,SIM_PAIR_000000001,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00112,Community–Community,The Originote,205,False,True,False,,primary_substantive_text,4,4,3,"aku juga udah coba, cocok bgt sama tipe kulitku",Community Actor,HCC,The Originote,"aku juga udah coba, cocok bgt sama tipe kulitku",Community Actor,HCC,The Originote,"aku juga udah coba, cocok bgt sama tipe kulitku",Community Actor,HCC,Maryame,"aku juga udah coba, cocok bgt sama tipe kulitku",identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
3,PPT_SIM_003,SIM_PAIR_000000704,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00284,Mass–Mass,Azarine | The Originote,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,4,4,4,tipe kulit apa??,Mass Actor,Outside LCN,The Originote,tipe kulit Kaka apa?,Mass Actor,Outside LCN,The Originote,tipe kulit apa?,Mass Actor,Outside LCN,Azarine,tipe kulit apa?,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
4,PPT_SIM_004,SIM_PAIR_000002596,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00354,Mass–Individual,Azarine | The Originote,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,4,4,4,2x seminggu,Mass Actor,Outside LCN,Daviena,seminggu 2x,Mass Actor,Outside LCN,Daviena,2x seminggu aja kak,Mass Actor,Outside LCN,The Originote,2x seminggu aja kak,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
5,PPT_SIM_005,SIM_PAIR_000002202,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00025,Community–Individual,Maryame,Cross-HCC / Non-HCC,False,True,False,,fallback_short_or_generic,4,4,4,🥰🥰,Mass Actor,Outside LCN,Daviena,🥰🥰,Mass Actor,Outside LCN,The Originote,🥰🥰,Mass Actor,LCN Non-HCC,Azarine,🥰🥰,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
6,PPT_SIM_006,SIM_PAIR_000004959,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00015,Individual–Individual,Maryame | The Originote,Cross-HCC / Non-HCC,False,False,False,,primary_substantive_text,4,4,1,keranjang kuning nya mana teh,Mass Actor,Outside LCN,Maryame,di mn keranjang nya tth,Mass Actor,Outside LCN,Maryame,keranjang nya mana teh,Mass Actor,Outside LCN,Maryame,mana keranjang kuning nya ka,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
7,PPT_SIM_007,SIM_PAIR_000004823,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00361,Community–Mass,The Originote,Cross-HCC / Non-HCC,False,True,False,NO_ACCOUNT_EVIDENCE_PAIR,primary_substantive_text,4,4,3,CARA PAKENYA GIMANA KAK,Mass Actor,Outside LCN,Daviena,cara pakenya gimana kak?,Mass Actor,Outside LCN,The Originote,cara pakenya gimana,Mass Actor,Outside LCN,The Originote,cara pakenya gimana,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
8,PPT_SIM_008,SIM_PAIR_000000646,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00062,Mass–Individual,The Originote,Cross-HCC / Non-HCC,False,True,False,,fallback_short_or_generic,4,4,4,bisa,Mass Actor,Outside LCN,The Originote,bisa,Mass Actor,Outside LCN,The Originote,bisa,Mass Actor,Outside LCN,The Originote,bisa,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
9,PPT_SIM_009,SIM_PAIR_000000678,EXACT_DUPLICATE,1.0,SIM_CLUSTER_00150,Individual–Individual,Azarine | The Originote,Cross-HCC / Non-HCC,False,False,False,,fallback_short_or_generic,4,4,3,bolehh,Mass Actor,Outside LCN,The Originote,bolehh ka,Mass Actor,Outside LCN,The Originote,bolehh,Individual Actor,Outside LCN,The Originote,bolehh kok,identical normalized comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
10,PPT_SIM_010,SIM_PAIR_000273968,NEAR_EXACT,1.0,SIM_CLUSTER_00240,Community–Mass,Maryame,Cross-HCC / Non-HCC,False,True,False,NO_ACCOUNT_EVIDENCE_PAIR,primary_substantive_text,4,4,3,kk gmn cara beli,Mass Actor,Outside LCN,Maryame,cara beli nya gmn,Mass Actor,Outside LCN,Daviena,cara beli gmn,Mass Actor,Outside LCN,Maryame,cara beli gmn ka,near-identical comments; cross-video,"Textual similarity is descriptive evidence of observed textual consistency, not proof of intentional coordination.",PENDING_MANUAL_REVIEW,
