sample_set,comment_id,comment_text_original,video_id,brand_or_video_context,annotator_1_label,annotator_1_notes,annotator_2_label,annotator_2_notes,adjudicated_human_label,adjudication_notes
development,7340244606807933702,"ini purging atau breakout ka?,saran di lanjut apa di stop",7237379067773766917,azarine_retinol,,,,,,
development,7263057602950693637,"Tanda perlu upgrade gmna ya? Baru mau coba yg smooth.. umur 27, tipkul kering",7237379067773766917,azarine_retinol,,,,,,
development,7385454151532036870,pemula aman ga pakek retinol dari azzarin yang retinol complex?,7237379067773766917,azarine_retinol,,,,,,
development,7322418149794071301,"kalo moisturizer nya pake apa kak? rekomen dong, aku pake moist skingame daily kok finish masih ngerasa lengket",7237379067773766917,azarine_retinol,,,,,,
development,7587090378680926993,"Cii, kulitku oily-combi, sensitif, bruntusan, jerawat hormonal, pori2 besar, PIE, dan PIH. Aku pakai Bioderma Sensibio Micellar Water, Skin1004 Ampoule Foam, Skin1004 Ampoule Pink, Purito Centella Wonderleaf Toner/Numbuzin No. 1 Toner, Purito Bamboo Panthenol Moisturizer, Skin1004 Hyalu-Cica Sunserum, dan seminggu sekali pakai wash-off mask Mugwort Mask I’m From itu aman gak Cii? cc @azarineskincare",7586827398084136200,azarine_retinol,,,,,,
development,7586898483333546760,"hai cii, ak pengikut baru🙌
Tolong bantu ak cii,
type kulit wajah aku berminyak tapi ngga berlebihan, komedoan, gradakan, ada bruntusan kecil², dan jg jerawat muncul 1 atau 2 ....
tolong bantu rekomendasiin ak harus pakai apa aja cii? step bay step nya apa aja, ak mau mulai dari awal ngerawat wajah aku😞",7586827398084136200,azarine_retinol,,,,,,
development,7586967063266165512,hylucica sun serum tutup biru bukanny untuk kulit yg kering ya ci? kulit wajah ak tu berminyak tapi ngga terlalu berminyak cii,7586827398084136200,azarine_retinol,,,,,,
development,7586883949931430677,"Clensing oil: skin0004 centella
Sunscreen: skin0004 hyalu cica
Moisturizer: skin0004 shooting cream centella
+skin1004 ampoule centella
Sabun: skin0004 foam centella. (3mingguan pemakaian malah gini, apa ga cocok ya ce) cc @azarineskincare",7586827398084136200,azarine_retinol,,,,,,
development,7586911315824231188,"ci aku udah terapin pake yg cici rekomendasi
fw:facerinna biru
serum ampoule pink
moist: facetology panthenol 5% aku tambahin soothing cream khusus malam, facetology aku pakai pagi
ss aku skip kemaren sempet pake labore yg phisycal sunscreen tapi ga cocok diaku malah kering + numbuh close komedo jadi banyak, jadi sekarang gapake sunscreen.
terus kemaren sebelum aku pake yg cici rekomen muka aku lumayan parah bruntusan yg bener bener banyak banget dibagian pipi, dagu, jidat, sekarang better sisa kemerahan + kusam terus bagian hidung ada komedo hitam gitu ci, saran cici gimana aku harus pake apalagi selain itu, atau udah cukup terapin itu dulu aja?",7586827398084136200,azarine_retinol,,,,,,
development,7587018714543080200,"ci aku udh 2bln lbih kyanya pkai saran cici, ampoul pink udh hbis yg 50ml skrng pkai yg 100ml udh tinggal 1/4 ,moist pkai minimalis b5, fw pakai minimalis oat. skrng jrng muncul jrwat,trs KLO ada jrwat aku ttol pkai moist CPT kempes nya, bekas jrwat lumyn pudar, cuma KLO siang keliatan kusam krna berminyak bgt area t-zone ,hrus di tmbh apa y kira"" ci",7586827398084136200,azarine_retinol,,,,,,
development,7586874216371094280,"Dulu pake mantan krim abal2 ci ternyata ada kandungan steroidnya lepas dari itu kena dermatitis.. trus ganti pake skincare paketan BPOM sembuh tpi jerawat on off trus...
lalu sekarang pake resep dari cici.. ampul pink-minimalis dan sooting krim...tpi kalo di pakein bedak tabur susah nempelnya🤣",7586827398084136200,azarine_retinol,,,,,,
development,7587404469648032513,"hi ci aku pake fw hadalabo moisturizing,moist g2g brigtening,ss facetology yang oli and acne skin .. tapi muka ku masih kusam,kering kadang"" berminyak dibagian jidat dan hidung .. ini gimana ngatasinya ci ? pliss capee bgt gada yang cocok",7586827398084136200,azarine_retinol,,,,,,
development,7586981334897394439,"kakk, mau nanya, aku baru kak... aku jerawatan mendem besar dan byk kak, tipkul kombinasi, fw aku pake cetaphil kak. gimana bagusnya kak? makasii kakk ❤️",7586827398084136200,azarine_retinol,,,,,,
