Id,Label,Source,Target,Type,Weight,edge_weight_raw,edge_visual_weight,edge_confidence_rank,edge_visual_opacity,edge_type,original_edge_type,is_ambiguous_assignment,is_ambiguous_association,raw_account_count,fractional_account_count,shared_video_count,shared_video_context_count,verified_direct_interaction_count,temporal_mass_comment_count,temporal_pair_count,hcc_account_count,hcc_comment_count
E000001,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Mixed,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Mixed,Directed,3.1981320578257804,23.486747622227163,3.1981320578257804,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,141,23.486747622227163,146,146.0,0,0,0,0.0,0.0
E000002,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Negative,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Negative,Directed,4.762938568957239,116.08949640830446,4.762938568957239,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,471,116.08949640830446,472,472.0,0,0,0,0.0,0.0
E000003,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Neutral,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Neutral,Directed,5.547787227497874,255.66897701541663,5.547787227497874,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,1069,255.66897701541663,1080,1080.0,0,0,0,0.0,0.0
E000004,Ambiguous: HCC_1 -> MASS_HCC_1_Ambiguous_Community_Mass_Association_Positive,HCC_1,MASS_HCC_1_Ambiguous_Community_Mass_Association_Positive,Directed,4.94892734015566,140.0236123955164,4.94892734015566,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,558,140.0236123955164,569,569.0,0,0,0,0.0,0.0
E000005,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Mixed,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Mixed,Directed,1.0986122886681098,2.0,1.0986122886681098,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,2,2.0,2,2.0,0,3,9,0.0,0.0
E000006,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Negative,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Negative,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,3,0.0,0.0
E000007,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Neutral,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Neutral,Directed,1.3862943611198906,3.0,1.3862943611198906,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,3,3.0,3,3.0,0,3,8,0.0,0.0
E000008,Observed: HCC_1 -> MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Positive,HCC_1,MASS_HCC_1_Observed_Community_Mass_Temporal_Association_Positive,Directed,0.6931471805599453,1.0,0.6931471805599453,2,0.65,Observed,Observed Community-Mass Temporal Association,False,False,1,1.0,1,1.0,0,1,1,0.0,0.0
E000009,Ambiguous: HCC_103 -> MASS_HCC_103_Ambiguous_Community_Mass_Association_Mixed,HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Mixed,Directed,2.9586581739548845,18.27209459958686,2.9586581739548845,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,134,18.27209459958686,153,153.0,0,0,0,0.0,0.0
E000010,Ambiguous: HCC_103 -> MASS_HCC_103_Ambiguous_Community_Mass_Association_Negative,HCC_103,MASS_HCC_103_Ambiguous_Community_Mass_Association_Negative,Directed,3.957704248266669,51.33703508393911,3.957704248266669,1,0.2,Ambiguous,Ambiguous Community-Mass Association,True,True,237,51.33703508393911,243,243.0,0,0,0,0.0,0.0
